transaction_id,card_id,bin,mcc,amount,card_present,device_id,ip_country,home_country,rule_name,rule_description,rule_weight
tx_5,card_4,400100,7995,746.05,False,device_1347,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_9,card_91,520000,7995,740.32,False,device_3313,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_19,card_838,370000,7995,933.4,False,device_214,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_22,card_1039,520000,6051,927.33,False,device_1938,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_24,card_254,370000,6051,976.69,False,device_4018,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_30,card_664,400100,7995,851.75,False,device_1044,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_33,card_917,520000,5732,602.9,False,device_3659,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_35,card_1016,510000,7995,685.24,False,device_4040,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_50,card_1129,510000,5732,599.06,False,device_1417,US,US,high_amount_cnp,High amount card not present transaction,25
tx_59,card_103,510000,7995,748.89,False,device_805,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_70,card_873,510000,5732,716.81,False,device_3761,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_73,card_180,520000,7995,538.73,False,device_1229,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_75,card_171,520000,5732,693.83,False,device_4777,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_76,card_363,370000,7995,813.89,False,device_3898,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_81,card_828,400100,6051,868.02,False,device_982,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_87,card_820,400100,7995,978.22,False,device_2039,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_89,card_401,510000,7995,849.41,False,device_2383,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_100,card_117,510000,5732,607.25,False,device_615,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_105,card_323,510000,6051,681.42,False,device_3160,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_125,card_61,530000,7995,878.37,False,device_1423,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_136,card_970,370000,7995,711.07,False,device_4478,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_139,card_1162,400100,5732,562.23,False,device_328,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_141,card_753,530000,5732,507.77,False,device_559,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_147,card_713,520000,6051,561.45,False,device_1727,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_163,card_315,400000,5732,581.43,False,device_2717,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_165,card_180,520000,6051,763.17,False,device_1610,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_170,card_326,370000,6051,786.05,False,device_1468,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_179,card_203,530000,7995,656.18,False,device_2968,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_197,card_761,370000,7995,593.09,False,device_1883,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_198,card_120,400000,6051,631.99,False,device_3282,US,US,high_amount_cnp,High amount card not present transaction,25
tx_206,card_372,520000,6051,724.07,False,device_4776,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_209,card_386,510000,7995,626.02,False,device_3090,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_210,card_556,400000,5732,509.53,False,device_225,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_215,card_719,400000,7995,865.72,False,device_1694,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_226,card_522,510000,6051,657.78,False,device_3875,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_249,card_879,510000,6051,609.87,False,device_2228,US,US,high_amount_cnp,High amount card not present transaction,25
tx_250,card_76,520000,6051,648.77,False,device_1495,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_255,card_169,520000,5732,562.6,False,device_4450,US,US,high_amount_cnp,High amount card not present transaction,25
tx_265,card_426,510000,5732,531.62,False,device_1104,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_266,card_59,520000,6051,789.44,False,device_2415,US,US,high_amount_cnp,High amount card not present transaction,25
tx_269,card_545,520000,6051,901.1,False,device_2983,US,US,high_amount_cnp,High amount card not present transaction,25
tx_275,card_220,400100,7995,645.4,False,device_498,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_281,card_476,400100,6051,637.62,False,device_4507,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_289,card_319,520000,6051,955.69,False,device_3126,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_296,card_1094,520000,5732,742.14,False,device_3239,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_297,card_1088,400100,7995,622.65,False,device_3524,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_302,card_1168,510000,5732,646.82,False,device_2500,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_306,card_375,510000,6051,794.8,False,device_2951,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_318,card_740,510000,7995,827.5,False,device_1078,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_323,card_1,370000,7995,969.16,False,device_4014,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_331,card_486,530000,6051,589.67,False,device_1013,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_332,card_1195,530000,7995,907.42,False,device_4509,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_335,card_225,400000,6051,812.58,False,device_4085,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_337,card_699,400100,5732,740.35,False,device_4568,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_339,card_352,530000,6051,632.38,False,device_893,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_354,card_1065,520000,7995,593.48,False,device_4377,US,US,high_amount_cnp,High amount card not present transaction,25
tx_355,card_295,370000,7995,518.58,False,device_2577,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_367,card_1196,520000,7995,525.0,False,device_3143,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_378,card_65,400100,6051,856.7,False,device_639,US,US,high_amount_cnp,High amount card not present transaction,25
tx_393,card_458,520000,6051,648.23,False,device_4754,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_397,card_570,370000,6051,718.71,False,device_2414,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_402,card_233,400100,6051,846.41,False,device_272,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_421,card_688,400000,6051,672.17,False,device_1242,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_425,card_902,370000,6051,917.56,False,device_1664,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_453,card_579,530000,6051,888.46,False,device_263,US,GB,high_amount_cnp,High amount card not present transaction,25
tx_461,card_475,400100,7995,762.25,False,device_1326,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_476,card_1038,400100,5732,523.01,False,device_3983,US,US,high_amount_cnp,High amount card not present transaction,25
tx_481,card_73,370000,6051,828.85,False,device_3029,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_482,card_1020,520000,6051,534.4,False,device_3674,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_485,card_819,400000,7995,861.85,False,device_4700,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_486,card_437,530000,5732,551.06,False,device_1143,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_496,card_456,400100,6051,684.91,False,device_4582,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_503,card_559,400100,7995,767.94,False,device_4339,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_509,card_575,370000,7995,832.52,False,device_2971,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_510,card_953,510000,6051,722.95,False,device_972,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_511,card_153,400000,6051,625.99,False,device_1720,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_523,card_278,510000,5732,582.35,False,device_3637,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_526,card_698,370000,7995,534.43,False,device_3282,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_531,card_786,510000,7995,980.53,False,device_559,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_533,card_233,400100,6051,663.4,False,device_4079,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_534,card_1062,520000,5732,766.76,False,device_3526,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_535,card_28,400100,6051,934.82,False,device_3766,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_542,card_568,400000,6051,879.28,False,device_1391,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_543,card_611,400100,6051,829.99,False,device_3848,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_544,card_142,370000,7995,686.49,False,device_801,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_549,card_790,400000,6051,545.36,False,device_629,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_550,card_137,510000,6051,553.98,False,device_2567,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_556,card_147,510000,6051,822.72,False,device_227,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_558,card_407,510000,7995,822.15,False,device_4512,US,US,high_amount_cnp,High amount card not present transaction,25
tx_584,card_147,510000,5732,586.85,False,device_3427,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_589,card_1098,400100,5732,621.34,False,device_2479,US,US,high_amount_cnp,High amount card not present transaction,25
tx_594,card_371,510000,6051,752.04,False,device_1240,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_597,card_1102,400000,7995,539.57,False,device_4595,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_599,card_271,370000,7995,568.23,False,device_2235,US,US,high_amount_cnp,High amount card not present transaction,25
tx_616,card_118,400000,6051,614.4,False,device_371,US,US,high_amount_cnp,High amount card not present transaction,25
tx_624,card_432,400000,6051,713.41,False,device_3457,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_628,card_230,400100,7995,577.46,False,device_156,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_630,card_385,400000,6051,870.36,False,device_1322,MX,MX,high_amount_cnp,High amount card not present transaction,25
tx_642,card_716,520000,7995,637.12,False,device_1129,US,US,high_amount_cnp,High amount card not present transaction,25
tx_643,card_200,520000,6051,563.47,False,device_2010,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_648,card_881,400100,5732,693.15,False,device_3556,DE,DE,high_amount_cnp,High amount card not present transaction,25
tx_650,card_945,370000,6051,798.83,False,device_2292,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_652,card_38,400000,5732,612.81,False,device_691,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_653,card_954,510000,5732,672.0,False,device_2326,US,US,high_amount_cnp,High amount card not present transaction,25
tx_656,card_163,510000,5732,625.32,False,device_3677,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_657,card_1175,400100,7995,564.03,False,device_4765,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_664,card_160,520000,7995,754.55,False,device_3731,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_673,card_481,370000,6051,859.85,False,device_204,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_692,card_553,510000,5732,590.16,False,device_2237,AU,AU,high_amount_cnp,High amount card not present transaction,25
tx_694,card_1151,400100,7995,528.76,False,device_1422,CA,CA,high_amount_cnp,High amount card not present transaction,25
tx_700,card_669,370000,6051,551.31,False,device_909,US,US,high_amount_cnp,High amount card not present transaction,25
tx_712,card_116,400100,5732,612.9,False,device_2567,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_715,card_1073,400100,6051,842.35,False,device_3368,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_717,card_858,520000,7995,562.97,False,device_4238,FR,FR,high_amount_cnp,High amount card not present transaction,25
tx_722,card_213,400100,7995,780.78,False,device_1945,US,US,high_amount_cnp,High amount card not present transaction,25
tx_741,card_174,520000,6051,750.09,False,device_1921,US,US,high_amount_cnp,High amount card not present transaction,25
tx_742,card_621,520000,6051,705.64,False,device_4511,US,US,high_amount_cnp,High amount card not present transaction,25
tx_747,card_790,400000,7995,920.88,False,device_585,BR,BR,high_amount_cnp,High amount card not present transaction,25
tx_750,card_552,400000,6051,736.94,False,device_3324,GB,GB,high_amount_cnp,High amount card not present transaction,25
tx_762,card_265,510000,7995,689.87,False,device_4248,BR,BR,high_amount_cnp,High amount card not present transaction,25
